Trends,Search volume,Started,Ended,Trend breakdown,Explore link
coolie rajinikanth,5K+,"September 2, 2024 at 11:40:00 PM UTC+5:30",,"coolie rajinikanth,shruti haasan,coolie rajini,coolie,lokesh kanagaraj",https://trends.google.com/trends/explore?q=coolie%20rajinikanth&geo=IN&hl=en
suhas yathiraj,10K+,"September 2, 2024 at 5:40:00 PM UTC+5:30",,"suhas yathiraj,nitesh kumar badminton,nitish kumar paralympics,sukant kadam,nitesh kumar,nitish kumar badminton,gold,nitesh kumar para badminton,yathiraj",https://trends.google.com/trends/explore?q=suhas%20yathiraj&geo=IN&hl=en
gabbar singh re release collection,2K+,"September 2, 2024 at 7:10:00 PM UTC+5:30",,gabbar singh re release collection,https://trends.google.com/trends/explore?q=gabbar%20singh%20re%20release%20collection&geo=IN&hl=en
adre admit card download,50K+,"September 2, 2024 at 10:50:00 AM UTC+5:30",,"adre admit card download,adre,slrc admit card,slrc,www.sebaonline.org 2024,seba online.org,grade 3 admit card,3rd grade admit card,assam direct recruitment admit card,state level recruitment commission,adre admit,slrc assam,assam adre admit card 2024,assam direct recruitment,grade 3 admit card download 2024,adre admit card 2024 link",https://trends.google.com/trends/explore?q=adre%20admit%20card%20download&geo=IN&hl=en
w785,10K+,"September 2, 2024 at 3:30:00 PM UTC+5:30",,"w785,w785 lottery result today,kerala lottery results win win,kerala lottery results,win win kerala lottery results,win win lottery result,kerala lottery result today live 3pm",https://trends.google.com/trends/explore?q=w785&geo=IN&hl=en
mariyappan thangavelu,2K+,"September 2, 2024 at 11:30:00 PM UTC+5:30",,mariyappan thangavelu,https://trends.google.com/trends/explore?q=mariyappan%20thangavelu&geo=IN&hl=en
magadh university,5K+,"September 2, 2024 at 7:10:00 PM UTC+5:30",,magadh university,https://trends.google.com/trends/explore?q=magadh%20university&geo=IN&hl=en
syed salim geelani,2K+,"September 2, 2024 at 5:40:00 PM UTC+5:30",,syed salim geelani,https://trends.google.com/trends/explore?q=syed%20salim%20geelani&geo=IN&hl=en
teachers day,2K+,"September 3, 2024 at 6:30:00 AM UTC+5:30",,teachers day,https://trends.google.com/trends/explore?q=teachers%20day&geo=IN&hl=en
kirti azad,5K+,"September 2, 2024 at 2:10:00 PM UTC+5:30",,"kirti azad,कीर्ति आजाद",https://trends.google.com/trends/explore?q=kirti%20azad&geo=IN&hl=en
